,Brand,Rating,No.of Ratings,No.of Reviews,Price,Screen size,SSD
0,realme,4.4,"14,640","2,087","₹36,999",14,256
1,realme,4.3,346,57,"₹56,999",14,512
2,ASUS,4.3,"6,091",597,"₹34,990",15.6,512
3,ASUS,4.3,"3,022",237,"₹42,990",15.6,512
4,Infinix,4.6,27,,"₹40,990",14,512
5,APPLE,4.7,"11,480",992,"₹81,990",13.3,256
6,Lenovo,4.2,530,66,"₹34,990",15.6,512
7,Lenovo,4.3,"2,426",252,"₹47,990",15.6,512
8,Acer,4.2,233,32,"₹51,990",15.6,512
9,Lenovo,4.2,"7,088",652,"₹36,990",15.6,512
10,realme,3.9,144,18,"₹47,999",14,512
11,Lenovo,3.8,18,,"₹36,990",15.6,512
12,HP,4.3,"1,737",126,"₹55,990",15.6,512
13,ASUS,4.3,"6,091",597,"₹31,990",15.6,256
14,HP,4.1,383,26,"₹38,990",15.6,512
15,HP,4,"1,919",167,"₹31,990",15.6,512
16,Lenovo,4.3,"2,426",252,"₹44,800",,512
17,Lenovo,4.5,53,12,"₹78,990",15.6,512
18,MSI,4.4,539,74,"₹61,990",15.6,512
19,DELL,4.1,186,23,"₹55,760",15.6,512
20,realme,4.3,55,,"₹47,999",14,512
21,Lenovo,4,259,26,"₹38,990",,512
22,HP,4.3,"3,800",311,"₹37,990",14,256
23,Acer,4.2,233,32,"₹54,990",15.6,512
